TrackID,variant,model,rss,r2,aic,bic,k,param_0,param_1,param_2,param_3
4507,with,linear,4.1007142305709445,0.15304567666065305,-27.69142224873914,-25.69995770163116,2,0.03338100966651257,0.5075088573995168,,
4507,with,sinusoidal,1.7864620258270867,0.6310272671584929,-40.3099026296538,-36.32697353543784,4,0.5383056709182729,0.5370907869946625,-2.388706178559359,0.8579232994940948
4507,with,joint,1.6505236585018237,0.6591037390705076,-41.89279334406678,-37.90986424985082,4,0.015863049812669387,0.7099539174740908,-0.5040348429494518,0.8676021064194032
4509,with,linear,4.584316810577823,0.059686949699722436,-25.461823685489946,-23.470359138381966,2,0.020918471584642884,0.7017594350235821,,
4509,with,sinusoidal,1.6516889070382554,0.6612135027970472,-41.878678582382975,-37.89574948816701,4,0.5766551382474567,0.4968443315274762,-2.3187061405556326,0.9770012347044882
4509,with,joint,1.7108529647294717,0.6490780553891797,-41.17480435240702,-37.19187525819106,4,0.005503583197465399,0.9129455566239193,-0.5572922347286986,0.541395640784193
4511,with,linear,2.2641306834588715,0.00963740496255272,-39.570827850062,-37.57936330295402,2,0.005756027525977148,0.6342678293585797,,
4511,with,sinusoidal,1.2067166157307123,0.4721651856225183,-48.156582859783356,-44.173653765567394,4,0.3361577161998606,0.45699599601409946,-1.8907292426448654,0.7357529434136749
4511,with,joint,1.3451829893797271,0.4115980469258379,-45.98404436341852,-42.00111526920256,4,-0.0035920155900171775,0.7561163556835272,-0.3132822814036126,0.6269072035935206
4513,with,linear,2.941926239242029,0.1597718716852401,-34.33335446653392,-32.34188991942594,2,0.029003914787357088,0.566479239719256,,
4513,with,sinusoidal,1.209099651242444,0.6546753880643814,-48.11712561599798,-44.134196521782016,4,0.47695026921913175,0.5219982573322417,-2.440401941356381,0.8891406806049756
4513,with,joint,1.063460763861693,0.6962705470868932,-50.68407623966759,-46.70114714545163,4,0.015527396035204375,0.7410523144255987,-0.44756663316267653,0.6381939327971997
4515,with,linear,3.8302720980019895,0.048726745595848664,-29.05592858040366,-27.06446403329568,2,0.01717651472229946,0.6147932781326543,,
4515,with,sinusoidal,1.63736929303583,0.5933485725831039,-42.05282818518823,-38.06989909097227,4,0.48474904146477543,0.5056730515697647,-2.1766043089335283,0.8228357121442793
4515,with,joint,1.657088872952892,0.5884510852810996,-41.813398033879494,-37.83046893966353,4,0.0013586676292353728,0.8054483840192467,-0.4770751692249467,0.7784771186745436
4517,with,linear,3.6305670013555558,0.18303367934730697,-30.12686877508885,-28.13540422798087,2,0.03497355934372526,0.8442378452845991,,
4517,with,sinusoidal,1.5382929286616858,0.6538464891171096,-43.301179196751235,-39.31825010253527,4,0.5362896353916395,0.4942526657921573,-2.0314585856525107,1.2255486531381306
4517,with,joint,1.4212915748452832,0.6801746536994134,-44.883325111788736,-40.900396017572774,4,0.018887893833942966,1.0365769404795107,-0.4805488128648613,0.7950433791797205
4519,with,linear,3.397967668346084,0.07687869783875512,-31.45109530512994,-29.45963075802196,2,0.020628726661653496,0.7896996302264103,,
4519,with,sinusoidal,1.1395684808156135,0.6904149648885717,-49.30165216813649,-45.31872307392053,4,0.508712218180111,0.4742458953215659,-1.8718859625801778,1.0383326742032306
4519,with,joint,1.3426969514205862,0.6352313267281315,-46.02104063888902,-42.03811154467306,4,0.005147744375753987,0.9751915113759214,-0.46361431409546594,0.7907424866806592
6503,with,linear,3.5912498038861225,0.07904305804841538,-30.344639937028745,-28.353175389920764,2,0.02152901642528693,0.5485922100288547,,
6503,with,sinusoidal,0.9848744644966109,0.7474341734603086,-52.21946733395375,-48.23653823973779,4,0.5425124503889641,0.4941400670373093,-2.1609768540756455,0.8148420521540686
6503,with,joint,1.0523923159629527,0.7301195789850659,-50.89332609676316,-46.9103970025472,4,0.005395294537037678,0.7528954850448283,-0.518850759348691,0.6805364412317535
6507,with,linear,3.273345253865835,0.05470927321474317,-32.19839596303634,-30.20693141592836,2,0.01687846154646766,0.6357985479491097,,
6507,with,sinusoidal,1.0553770074901787,0.6952236867575684,-50.836684347802056,-46.853755253586094,4,0.49682057535095886,0.49000823886902634,-2.195970791903836,0.8596029933217341
6507,with,joint,1.139170991838416,0.671025299413236,-49.308629516552124,-45.32570042233616,4,0.002764459073329704,0.8210406411231261,-0.4778299371899625,0.6145659742605815
6521,with,linear,2.6848882249591055,0.06968948579781431,-36.16186351795283,-34.17039897084485,2,0.01739089579394045,0.5455416824459977,,
6521,with,sinusoidal,1.213908354768758,0.5793822270808113,-48.037741481440435,-44.05481238722447,4,0.40916091436942365,0.5004945265662125,-2.203056927485745,0.754760561223309
6521,with,joint,1.2267208831620668,0.5749427015292436,-47.827752255760565,-43.8448231615446,4,0.0050648891820679115,0.7006215703555301,-0.3928925591112358,0.6929149399659148
4507,without,linear,3.7607771693465275,0.25628926939076924,-29.42213287070608,-27.4306683235981,2,0.04414598037089623,0.2395486830600686,,
4507,without,sinusoidal,1.1412247766746093,0.7743176279179798,-49.27260444722256,-45.2896753530066,4,0.6100980753421461,0.5609961396813216,-2.6391550395803325,0.6888995586059594
4507,without,joint,0.9207510754344227,0.8179173016146672,-53.56595658426697,-49.58302749005101,4,0.02551476318770553,0.4576748138695258,-0.5434690678826638,0.8395979912870318
4509,without,linear,5.183794696963385,0.07022762265173077,-23.003898369949376,-21.012433822841395,2,0.024264912770476828,0.5219639786285902,,
4509,without,sinusoidal,0.7580181394844032,0.8640408486789839,-57.45560472923762,-53.47267563502166,4,0.7057851395612593,0.5066634545331103,-2.4468897236751173,0.8449015303115595
4509,without,joint,0.7858377725807563,0.8590510819322212,-56.73474355234478,-52.75181445812882,4,0.00558767316989896,0.7814953558084999,-0.6905662400129844,0.5186567673664348
4511,without,linear,1.9958631904702624,0.017060772116183953,-42.0931127972477,-40.10164825013972,2,0.007217562758833007,0.43681967620338924,,
4511,without,sinusoidal,0.9061376302785421,0.5537378378862727,-53.88592696461117,-49.90299787039521,4,0.3410424717185655,0.4826456662981867,-2.1553893886472935,0.551692920236609
4511,without,joint,0.955136695022195,0.5296063728158602,-52.83266172299007,-48.849732628774106,4,-0.0026951490229781007,0.5663718717665649,-0.33350389773960465,0.6221295456137025
4513,without,linear,3.512064405116528,0.16535827027619754,-30.790565187251197,-28.799100640143216,2,0.032346949182955,0.45901639120919446,,
4513,without,sinusoidal,0.6266381544052426,0.8510795097203323,-61.26236569409656,-57.2794365998806,4,0.5975803768060226,0.5235291413114889,-2.4808761088394533,0.8267651029286144
4513,without,joint,0.48240753677213793,0.885355900553328,-66.49396567508066,-62.5110365808647,4,0.01544189239531873,0.6800306236074048,-0.5690467613180756,0.6215043478744301
4515,without,linear,3.886726667353649,0.07409528940122934,-28.763298876987257,-26.771834329879276,2,0.021626853080172315,0.4486231967806822,,
4515,without,sinusoidal,1.0383871160872573,0.7526331011938939,-51.161272282586445,-47.178343188370484,4,0.5511133267406154,0.5295561907883818,-2.3751120890131228,0.695126499086146
4515,without,joint,1.035299669110818,0.753368599710736,-51.22082706742329,-47.23789797320733,4,0.0031332516287678755,0.6672124838860998,-0.5451754467313481,0.8193142679397821
4517,without,linear,4.16463096815973,0.23764965560191376,-27.38209209887136,-25.39062755176338,2,0.04418437678114817,0.7686693540641251,,
4517,without,sinusoidal,1.4878627588539393,0.7276414896538599,-43.96783146699434,-39.98490237277838,4,0.6229275628414888,0.5060220752246534,-2.1364701196371545,1.2414861326949391
4517,without,joint,1.1469225264857068,0.7900517981667261,-49.172999643285365,-45.190070549069404,4,0.025332372909406535,0.993490607834849,-0.5614502501155267,0.8005633793098701
4519,without,linear,3.572875434805993,0.10552306844941528,-30.447231160701662,-28.45576661359368,2,0.025176029887389224,0.6399639826291648,,
4519,without,sinusoidal,0.8476939473227235,0.7877780250862831,-55.219357861287435,-51.23642876707147,4,0.5650398900696312,0.48592127620817405,-2.06502947833083,0.943804790763377
4519,without,joint,0.9644091815946585,0.758558119012945,-52.63943771498141,-48.65650862076545,4,0.008629146702239772,0.8475256902871188,-0.5252896404494742,0.6987026592505787
6503,without,linear,2.4856951352546663,0.09984035801796298,-37.703598412527825,-35.712133865419844,2,0.02036134227550135,0.40689962250845946,,
6503,without,sinusoidal,0.6226843809901339,0.7745035819115207,-61.38895547384989,-57.40602637963393,4,0.46032081986644324,0.5060058399748202,-2.223087814292961,0.6460782085619389
6503,without,joint,0.6215191327571524,0.7749255602214687,-61.4264171450569,-57.44348805084094,4,0.00616000607019763,0.5828225977732835,-0.44336909796663543,0.7231925113491795
6507,without,linear,2.213980647295193,0.07267709442983394,-40.01880360729662,-38.02733906018864,2,0.01615322981786016,0.4477791051779487,,
6507,without,sinusoidal,0.49353432303513584,0.7932837927040264,-66.03790291715848,-62.054973822942515,4,0.4417628424685726,0.49682172355157345,-2.3124333700456656,0.6594685405492549
6507,without,joint,0.5291044599833696,0.7783852872511162,-64.64603346569143,-60.66310437147547,4,0.004078574746618767,0.6106205068847773,-0.42595689889189375,0.5674806825454171
6521,without,linear,2.0378371622323934,0.134501830722061,-41.67686485429766,-39.68540030718968,2,0.02182252186357525,0.3216553473046846,,
6521,without,sinusoidal,0.46939713280870043,0.8006404208149807,-67.04076754685177,-63.05783845263581,4,0.43271922241298144,0.5231381659302624,-2.458360489339736,0.5717786498705986
6521,without,joint,0.41800043870700093,0.8224693213161515,-69.36010140947285,-65.37717231525689,4,0.009219223867339085,0.4840425350559273,-0.4153379376194837,0.6480499312763045
